name,status,location,price,score,cuisines
Georgetown Cupcake,,Back Bay East Boston ,★★,6.592015706806283,Bakery Dessert
Dan's Bar-B-Qued Chickens,,West Park Allentown United States,,6.587696335078534,
Nudy's Cafe,, Paoli United States,★★,8.759429280397022,
Café Reggio,OPERATIONAL,South Village New York United States,★★,8.755334987593052,Cafe Italian
Left Bank,OPERATIONAL,West Village New York United States,★★★,8.755334987593052,American European
Crooked Hammock Brewery,,Crescent Beach North Myrtle Beach ,,6.583376963350785,Brewery
Steamers Restaurant & Sports Bar,, Chincoteague United States,★★,8.755334987593052,
The Grey Dog,OPERATIONAL,South Village New York United States,★★,8.743052109181141,Cafe
The Blue Dog,OPERATIONAL,Midtown West New York United States,★★,8.738957816377171,American
STK Steakhouse Midtown NYC,OPERATIONAL,Midtown South New York United States,★★★,8.734863523573202,American Steakhouse
Chelsea Market,OPERATIONAL,Chelsea New York United States,,8.73076923076923,Market
Big Gay Ice Cream Shop,,West Village New York United States,★★,8.73076923076923,Ice Cream
The Collins Quarter,,Historic District - North Savannah United States,★★,8.72258064516129,Bar Cafe
Hymie's,,Academyville Merion Station ,★★,8.71848635235732,Delicatessen
The Franklin Fountain,,Old City Philadelphia United States,★★,8.71439205955335,Ice Cream
Reading Terminal Market,,Center City East Philadelphia United States,★★,8.71439205955335,
Renzo's St Pete,, St. Petersburg United States,★★,8.71439205955335,
